filename;text;word_count;note_bert_intimité;note_bert_fertilité du language;note_bert_fluidité;note_bert_émotions;note_bert_imaginaire;note_bert_ expert;note_bert_Vulnerable;note_bert_difficulté verbalisation;cluster;residual
Entretien 01 24.10.03 01_traitement_A;Une journée de travail en entreprise ou une journée de travail ici au BIP ?;15;1.63;0.58;0.42;1.35;0.24;1.35;1.62;1.23;4.0;-0.4487999999999981
Entretien 01 24.10.03 01_traitement_A;Dans l'entreprise ?;3;2.97;0.67;0.55;1.88;0.78;0.8;1.47;1.88;3.0;-0.24280000000000257
Entretien 01 24.10.03 01_traitement_A;Ça dépend un peu parce que du coup j'ai eu deux aspects très différents.;14;5.17;0.95;1.46;3.17;2.06;3.59;2.54;1.55;1.0;0.08719999999999573
Entretien 01 24.10.03 01_traitement_A;J'ai été dans deux entreprises.;5;3.45;0.81;0.87;1.54;0.93;2.15;1.05;1.0;3.0;-0.244099999999996
Entretien 01 24.10.03 01_traitement_A;L'entreprise où j'ai fait mon CAP, c'était grosse entreprise.;9;3.6;0.8;0.67;1.56;0.86;2.97;0.79;0.98;3.0;0.05779999999999719
Entretien 01 24.10.03 01_traitement_A;C'est juste pour poser aussi le contexte.;7;4.31;1.89;1.93;0.91;1.12;4.52;2.25;1.73;2.0;0.06069999999999798
Entretien 01 24.10.03 01_traitement_A;Grosse entreprise, on était beaucoup.;5;2.54;0.65;0.87;1.39;0.71;2.59;1.13;0.88;4.0;-0.13119999999999887
Entretien 01 24.10.03 01_traitement_A;C'était du travail un peu à la chaîne.;8;3.22;0.49;0.53;1.09;0.9;2.55;2.06;0.89;4.0;-0.3023000000000029
Entretien 01 24.10.03 01_traitement_A;Restauration d'églises principalement ou bien création pour des grandes baies d'églises.;11;2.2;1.05;1.15;1.07;1.82;3.15;0.83;1.07;4.0;-1.5678000000000014
Entretien 01 24.10.03 01_traitement_A;Du coup, le matin, on arrivait à l'atelier vers, pour ma part, 7h.;13;3.48;0.81;1.13;1.45;1.94;2.05;1.72;1.27;3.0;-0.5041000000000024
Entretien 01 24.10.03 01_traitement_A;Chacun avait des horaires un peu différents.;7;2.48;0.86;1.01;1.29;1.37;2.68;3.66;1.52;4.0;-0.8364999999999996
Entretien 01 24.10.03 01_traitement_A;C'était 7h ou 7h30.;4;3.38;0.91;1.01;1.06;1.19;1.64;0.98;1.15;4.0;-0.1337999999999977
