id;filename;text;augmentation_type;difficulté_verbalisation;
100_contextual;Entretien 01 24.10.03 01_traitement_A;Alors du coup, si ça a deux filss, plus'est petite pièce avec petit trou sur notre petite pièce.;contextual;0.0;
100_original;Entretien 01 24.10.03 01_traitement_A;Et du coup, si on a des onglets, c'est petite pièce en petit plomb et notre petite pièce.;original;0.0;
100_swap;Entretien 01 24.10.03 01_traitement_A;Et du, coup on si a des onglets, c ' est petite en pièce petit plomb et petite pièce notre.;swap;0.0;
100_translation;Entretien 01 24.10.03 01_traitement_A;Et quand on aura des onglets, c'est un petit morceau de plomb et notre petit morceau.;translation;0.0;
101_contextual;Entretien 01 24.10.03 01_traitement_A;Et puis hop, Madame vient couper le repas avec quelquess.;contextual;0.0;
101_original;Entretien 01 24.10.03 01_traitement_A;Et puis hop, on vient couper le plomb en onglets.;original;0.0;
101_swap;Entretien 01 24.10.03 01_traitement_A;Puis hop et, vient on couper plomb le en onglets.;swap;0.0;
101_translation;Entretien 01 24.10.03 01_traitement_A;Et puis, hey, on coupe le plomb dans les onglets.;translation;0.0;
102_contextual;Entretien 01 24.10.03 01_traitement_A;Je ne sais trop quand c' plus clair.;contextual;1.0;
102_original;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas si c'est clair.;original;1.0;
102_swap;Entretien 01 24.10.03 01_traitement_A;Ne je pas sais si c ' clair est.;swap;1.0;
102_translation;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas si c'est clair.;translation;1.0;
103_contextual;Entretien 01 24.10.03 01_traitement_A;Et hop coup, petit puis progressivement, on a notre identité.;contextual;0.0;
103_original;Entretien 01 24.10.03 01_traitement_A;Et du coup, petit à petit, on a notre base.;original;0.0;
103_swap;Entretien 01 24.10.03 01_traitement_A;Et du coup, à petit, petit on notre a. base;swap;0.0;
103_translation;Entretien 01 24.10.03 01_traitement_A;Et puis, petit à petit, nous avons notre base.;translation;0.0;
104_contextual;Entretien 01 24.10.03 01_traitement_A;On bâtis une base qui est solide'é plus une solide qui semble régulière.;contextual;0.0;
104_original;Entretien 01 24.10.03 01_traitement_A;On bâtit une base qui est d'équerre et qui est régulière.;original;0.0;
104_swap;Entretien 01 24.10.03 01_traitement_A;On bâtit une qui base est d ' équerre et qui est régulière.;swap;0.0;
104_translation;Entretien 01 24.10.03 01_traitement_A;Nous construisons une base qui se balade et qui est régulière.;translation;0.0;
105_contextual;Entretien 01 24.10.03 01_traitement_A;Puis ensuite, ensuite vient remettre de petite couche, petit plomb, petite pièce de verre, petit plomb, grosse pièce de métal, jusqu'au final, quand on est bien rentré' laquerre, qui a bien notre forme avec nos bonnes mesures.;contextual;0.0;
105_original;Entretien 01 24.10.03 01_traitement_A;Et ensuite, on vient remettre une autre pièce, petit plomb, petite pièce de verre, petit plomb, petite pièce de verre, jusqu'au final, quand on est bien d'équerre, on a bien notre forme avec nos bonnes mesures.;original;0.0;
105_swap;Entretien 01 24.10.03 01_traitement_A;Et ensuite, on vient remettre une pièce autre, plomb petit, petite pièce de verre, petit plomb petite pièce, verre de, jusqu ' au final quand, on est bien d ' équerre, on a bien notre avec forme bonnes nos mesures.;swap;0.0;
105_translation;Entretien 01 24.10.03 01_traitement_A;Et puis nous arrivons pour mettre une autre pièce, un petit morceau de plomb, un petit morceau de plomb, un petit morceau de verre, jusqu'à la fin, quand nous nous tournons, nous avons notre forme avec nos mesures justes.;translation;0.0;
106_contextual;Entretien 01 24.10.03 01_traitement_A;Si on donne eu,7, cela doit calculer 54,7.;contextual;0.0;
106_original;Entretien 01 24.10.03 01_traitement_A;Si on a 48,7, on doit avoir 48,7.;original;0.0;
106_swap;Entretien 01 24.10.03 01_traitement_A;On 48 si a, 7, doit on avoir 48 7,.;swap;0.0;
106_translation;Entretien 01 24.10.03 01_traitement_A;Si nous avons 48,7, nous devons 48,7.;translation;0.0;
107_contextual;Entretien 01 24.10.03 01_traitement_A;C' écrivain très instructif.;contextual;0.0;
107_original;Entretien 01 24.10.03 01_traitement_A;C'est très précis.;original;0.0;
107_swap;Entretien 01 24.10.03 01_traitement_A;C ' est précis. très;swap;0.0;
107_translation;Entretien 01 24.10.03 01_traitement_A;C'est très précis.;translation;0.0;
108_contextual;Entretien 01 24.10.03 01_traitement_A;On vient, on viens d'équer ... puis comme si tout semblait parfait, je commence à direr.;contextual;0.0;
108_original;Entretien 01 24.10.03 01_traitement_A;On vient, on fait d'équerre et puis si tout est parfait, on commence à souder.;original;0.0;
108_swap;Entretien 01 24.10.03 01_traitement_A;On vient, on d fait ' équerre puis si et est tout parfait, on commence à souder.;swap;0.0;
108_translation;Entretien 01 24.10.03 01_traitement_A;On arrive, on commence à pivoter, et quand tout sera parfait, on commencera à souder.;translation;0.0;
